ISIN,FISN,CFI,DTI,Linked DTI(s),DTI Long Name,DTI Short Name,DTI Status,Type,Added Date,Amended Date
XTV15WLZJMF0,BITCOIN/BTC,TMXXXX,V15WLZJMF,4H95J0R2X;K1NS41N51,Bitcoin,BTC;XBT,Validated,Referential Instrument,10/31/23,9/4/24
XTZ1K7V8BV86,WRAPPED BTC/WBTC,TMXXXX,Z1K7V8BV8,ZN227BVRW,Wrapped BTC,WBTC,Validated,Referential Instrument,9/4/24,9/4/24
XTL09Q657BK6,USD TETHER/USDT,TMXXXX,L09Q657BK,NSTDLD1N5;29DD3R2SH;2QWSBDMNC;C9N6ZVN7S;6QBMW6DQZ;NJ7X4BCTD;TZFM5MHWR;HRTC9BR9W;FFFV6CVVF;BP2R7MGQH;5CMGWLV2M;7X00GGTK7,USD Tether,USDT,Validated,Referential Instrument,10/31/23,9/1/25
XT8N2VXJKB15,BINANCE COIN/BNB,TMXXXX,8N2VXJKB1,HWRGLMT9T;T4FV9055Q,Binance Coin,BNB,Validated,Referential Instrument,10/31/23,6/27/25
XTD5RG2FHH04,ETHEREUM ETHER/ETH,TMXXXX,D5RG2FHH0,X9J9K872S,Ethereum Eth,ETH,Validated,Referential Instrument,10/31/23,11/25/25
XT76W7R1LKQ2,WRAPPED ETHER/WETH,TMXXXX,76W7R1LKQ,V2N9ZRBHG,Wrapped Ether,WETH,Validated,Referential Instrument,9/4/24,9/4/24
XTTJWK5QTRK6,USDC/USDC,TMXXXX,TJWK5QTRK,7NZRGQZ87;J2TPM5RFQ;56V43DKZ3;MKC04VFBQ;VXJX1WW6V;RN81GQLBH;QQKDMF6N9;TSLS4S9R8;P7H2X1B9H;CK9PW1MFH;M8G59S1ZR;5R3XFPZSM;DWBBXD2F1;XTS66R22W;45J6XJX7H;4ZSZS1F4F;LS71LQK3L;898NNTPZJ;CP6817N4B;2ZTG3NNVB;FXZLG37L6;W2PQJJCPM;54VFN74B3;6BGZTT6GF;RWPZZPR7C;T6TQ8GN7L;S28NDWCSX;R3SV04GX9;SKXZGD4J8;GN9M0Z238;N064ZKXDM,USDC,USDC,Validated,Referential Instrument,10/31/23,10/22/25
XT42PHJB2BS0,RIPPLE XRP/XRP,TMXXXX,42PHJB2BS,L6GTZC9G4;J815X0DG2;F2FP5N8RD,Ripple XRP,XRP,Validated,Referential Instrument,10/31/23,10/31/23
XT76QS7QCXB8,CARDANO ADA/ADA,TMXXXX,76QS7QCXB,HWGL1C2CK,Cardano ADA,ADA,Validated,Referential Instrument,10/31/23,5/30/25
XT35PLJP6J74,DOGECOIN/DOGE,TMXXXX,35PLJP6J7,820B7G1NL,Dogecoin,DOGE,Validated,Referential Instrument,4/15/25,4/15/25
XTGB8DQ8DWN1,POLYGON POL/POL,TMXXXX,GB8DQ8DWN,HGMF3TRBK;RQWW6J6K0;612RCQLCX,Polygon POL ,MATIC;POL,Validated,Referential Instrument,10/31/23,9/4/24
XT6QZ1LNC129,SOLANA SOL/SOL,TMXXXX,6QZ1LNC12,20J63Z4N3,Solana SOL,SOL,Validated,Referential Instrument,10/31/23,9/4/24
XTZDC9H2MG23,WRAPPED SOL/SOL,TMXXXX,ZDC9H2MG2,6SKD2VM16,Wrapped SOL,SOL,Validated,Referential Instrument,9/4/24,9/4/24
XTD74JZ1VRD1,LITECOIN/LTC,TMXXXX,D74JZ1VRD,WTX0G7K46,Litecoin,LTC,Validated,Referential Instrument,10/31/23,4/2/25
XTN9BNP470B6,LITECOIN/LTC,TMXXXX,N9BNP470B,G8HDVQ7QL,Litecoin Token,LTC,Provisional,Referential Instrument,4/2/25,4/2/25
XTHZ9HHNPLG8,TRON TRX/TRX,TMXXXX,HZ9HHNPLG,993D8X1FB;6PF7WDK49;523PVPHKS,TRON TRX,TRX;WTRX,Validated,Referential Instrument,10/31/23,10/31/23
XTSGD9NLTRG0,POLKADOT DOT/DOT,TMXXXX,SGD9NLTRG,P5B46MFPP;N3TLFXRZL;KNPTB87Q5,Polkadot DOT,DOT,Validated,Referential Instrument,12/14/23,8/5/25
XTBSF74H7GR2,BINANCE USD/BUSD,TMXXXX,BSF74H7GR,FDBG7XVCM;MJ4JJGJ97;DDWNJQZZH;HRBN31W17;BDFVNSJD2;T8HCTG9W6;41W3DC2R4;FKKWRNHCR;N5V23LD36;K1C66DC54;P4RFKKQJ3;TN24N8PPF;BQJ7NS9XT;DW08QJR6K,Binance USD,BUSD,Validated,Referential Instrument,10/31/23,7/15/25
XTM4HFTFNPC7,SHIBA INU/SHIB,TMXXXX,M4HFTFNPC,VB2Q3G56B,SHIBA INU,SHIB,Validated,Referential Instrument,10/31/23,9/4/24
XTHHQFNVG491,SHIBA INU WORMHOLE/SHIB,TMXXXX,HHQFNVG49,VF9HWNFF7,SHIBA INU Wormhole,SHIB,Validated,Referential Instrument,9/4/24,9/4/24
XTS6JCBF70N8,AVALANCHE AVAX/AVAX,TMXXXX,S6JCBF70N,M3Z631TN4;4FHS0SNBQ;CZHS0S2RB,Avalanche AVAX,AVAX;WAVAX,Validated,Referential Instrument,10/31/23,4/24/25
XTR5GCQW24K3,DAI STABLECOIN/DAI,TMXXXX,R5GCQW24K,XQDQSLNMM,Dai Token,DAI,Provisional,Referential Instrument,10/31/23,8/28/25
XT6C7F2WVZH0,COSMOS ATOM/ATOM,TMXXXX,6C7F2WVZH,J51DXB76N;6453368PD;JVMWS68W1;W03RCK39H;2RZ13PHH3;DJ0QPRH0W;HX1NSP98N;MC73KT6K4,Cosmos ATOM,ATOM,Validated,Referential Instrument,10/31/23,4/24/25
XT3R3J70FDR7,CHAINLINK TOKEN/LINK,TMXXXX,3R3J70FDR,8SBB81M2M;4B3160BBC;GH40FM7C2;FF5C3VCJ2;XD1LCN74F;R9VLBJZR4;N06L5TBWG;V8GM3FHLD;TX4QCLDND,ChainLink Token,LINK,Validated,Referential Instrument,10/31/23,4/23/25
XT59RRBDSKQ6,LEO TOKEN/LEO,TMXXXX,59RRBDSKQ,1ZWMFM5SC,Leo Token,LEO,Validated,Referential Instrument,10/31/23,9/4/23
XT50BFQMHW38,BITFINEX LEO TOKEN/LEO,TMXXXX,50BFQMHW3,KPXS8WST3,Bitfinex LEO Token,LEO,Validated,Referential Instrument,9/4/23,9/4/23
XTXMB84LZBZ1,UNISWAP/UNI,TMXXXX,XMB84LZBZ,P1FTS4328;8K1B669GJ;829HMDG5N;TS0ZHWLV8,Uniswap,UNI,Validated,Referential Instrument,10/31/23,10/31/23
XTDPBNMCZQ52,OKB/OKB,TMXXXX,DPBNMCZQ5,CNKWNW4ZD,OKB,OKB,Provisional,Referential Instrument,10/31/23,9/4/25
XT2B2D6XWQ01,MONERO XMR/XMR,TMXXXX,2B2D6XWQ0,24VV95T9F,Monero XMR,XMR,Validated,Referential Instrument,10/31/23,9/4/23
XTD0B6CL9QD4,WRAPPED MONERO/WXMR,TMXXXX,D0B6CL9QD,49C51J9T9,Wrapped Monero,WXMR,Validated,Referential Instrument,9/4/23,9/4/23
XTDGMQMFZD42,ETHEREUM CLASSIC ETHER/ETC,TMXXXX,DGMQMFZD4,GWQWXVV7J,Ethereum Classic Ether,ETC,Validated,Referential Instrument,10/31/23,9/4/23
XT7JVP2ZPLV6,ETHEREUM CLASSIC/ETC,TMXXXX,7JVP2ZPLV,3DBPM738H,Ethereum Classic,ETC,Validated,Referential Instrument,9/4/23,9/4/23
XTZCN8SR2H77,STELLAR LUMEN/XLM,TMXXXX,ZCN8SR2H7,C4SRNZD8K,Stellar Lumen,XLM,Validated,Referential Instrument,10/31/23,9/4/23
XTSR4X97LW93,WRAPPED STELLAR LUMEN/WXLM,TMXXXX,SR4X97LW9,1DHZCHX0N,Wrapped Stellar Lumens,wXLM,Validated,Referential Instrument,9/4/23,9/4/23
XT919BF3W7L4,BITCOIN CASH/BCH,TMXXXX,919BF3W7L,J9K583ZGG;LXMPJ21BK,Bitcoin Cash,BCH;BCC;XBC,Validated,Referential Instrument,10/31/23,9/4/24
XT9SN4M6H0N5,BITCOIN CASH TOKEN/BCH,TMXXXX,9SN4M6H0N,W4W5CZQQ9,Bitcoin Cash Token,BCH,Validated,Referential Instrument,9/4/24,9/4/24
XTKRB1FDCHQ3,HECO PEG HBCH TOKEN/HBCH,TMXXXX,KRB1FDCHQ,ML18MBJX2,Heco Peg HBCH Token,HBCH,Validated,Referential Instrument,9/4/24,9/4/24
XTKK12JMBTX2,TONCOIN/TON,TMXXXX,KK12JMBTX,QBZLT5MT1,Toncoin,TON,Validated,Referential Instrument,10/31/23,10/31/23
XTS27QKS03W5,WRAPPED TON COIN/TONCOIN,TMXXXX,S27QKS03W,JGSQZ3N79,Wrapped TON Coin,TONCOIN,Validated,Referential Instrument,9/4/24,9/4/24
XTPHN836BJ17,WRAPPED TON COIN/TONCOIN,TMXXXX,PHN836BJ1,1NGQX9DWM,Wrapped TON Coin,TONCOIN,Validated,Referential Instrument,9/4/24,9/4/24
XTQ00DC0PHH4,TRUEUSD/TUSD,TMXXXX,Q00DC0PHH,4GNLB78VC;JVVVH6K29;DLFDPGMTP;N19HT013T;393P69V6L;XRC6968TW;982VJQ3JJ,TrueUSD,TUSD,Validated,Referential Instrument,10/31/23,10/31/23
XT4DHTM5D7P2,INTERNET COMPUTER TOKEN/ICP,TMXXXX,4DHTM5D7P,7KL6LCVWQ;XG4RWXN7V,Internet Computer Token,ICP,Validated,Referential Instrument,10/31/23,10/31/23
XTS6702SWRZ9,FILECOIN/FIL,TMXXXX,S6702SWRZ,K8B662X5Z;D3K7WMHT1;C0SK6LJX1,Filecoin,FIL,Validated,Referential Instrument,10/31/23,10/31/23
XT8W8GLGL654,LIDO DAO TOKEN/LDO,TMXXXX,8W8GLGL65,26W7JCWZJ;8P11GW2VS;2MKVB7SL3;JTBF802B0;RXT020DF5,Lido DAO Token,LDO,Validated,Referential Instrument,10/31/23,6/24/25
XTC4CQCGLH27,APTOS TOKEN/APT,TMXXXX,C4CQCGLH2,SMB9ZBCGN;SSFZXXTDD,Aptos Coin,APT,Validated,Referential Instrument,10/31/23,10/31/23
XT2WWB8QS479,HEDERA HBAR/HBAR,TMXXXX,2WWB8QS47,DHQPD433B,Hedera HBAR,HBAR,Validated,Referential Instrument,10/31/23,10/31/23
XTGWM30MLW35,CRONOS/CRO,TMXXXX,GWM30MLW3,2MPCC77C1;DQG22RKCR;D00BX2H21;C77WR20TB;ZBC8DTX8G;5VNCFR2T5;G0V71VTTX;W4DBTJQ98,Cronos,CRO,Validated,Referential Instrument,10/31/23,10/10/25
XT44TP35HF98,ARBITRUM/ARB,TMXXXX,44TP35HF9,93K9SQP62;63TGWHVCD,Arbitrum,ARB,Validated,Referential Instrument,10/31/23,10/31/23
XTM2DJLNPDW2,VECHAIN/VET,TMXXXX,M2DJLNPDW,NN418T24K;VTQD5DKT8,VeChain,VET,Validated,Referential Instrument,10/31/23,10/31/23
XTMXXM59Z0T6,NEAR PROTOCOL/NEAR,TMXXXX,MXXM59Z0T,DC83NXWML;2HSQ98ND1;5F5HWZL9Z,NEAR Protocol,NEAR,Validated,Referential Instrument,10/31/23,10/31/23
XTL8M8X31JL7,QUANT/QNT,TMXXXX,L8M8X31JL,N25N2VFT7;Z3SN3NVM7,Quant,QNT,Validated,Referential Instrument,10/31/23,10/31/23
XTVMQPVH41W7,GRAPH TOKEN/GRT,TMXXXX,VMQPVH41W,ZLZ8X4SKJ;7744P2WPH;1K8HT8SZW,Graph Token,GRT,Validated,Referential Instrument,10/31/23,4/25/25
XT7WKVRWPNR7,APECOIN/APE,TMXXXX,7WKVRWPNR,LLV8HGVBS;N4L7B7NDJ;55K9KLJ40,ApeCoin,APE,Validated,Referential Instrument,10/31/23,4/24/25
XTK8S6W74KS2,ALGORAND/ALGO,TMXXXX,K8S6W74KS,M8Z9JSG9Q,Algorand,ALGO,Validated,Referential Instrument,10/31/23,9/3/24
XTKW73R82ZW8,WRAPPED ALGO/ALGO,TMXXXX,KW73R82ZW,K88GZL5XP,Wrapped Algo,xALGO,Validated,Referential Instrument,9/4/24,9/4/24
XTBVGX9WS2C1,SAND/SAND,TMXXXX,BVGX9WS2C,B16J8HBKK;C3PND6J7S;BZLGFFGF6,SAND,SAND,Validated,Referential Instrument,10/31/23,10/31/23
XT8G4JTC9D06,PAX DOLLAR/USDP,TMXXXX,8G4JTC9D0,RF4V6BXGW;1M94XZ2ZP,Pax Dollar,USDP,Provisional,Referential Instrument,10/31/23,9/30/25
XT8FWQPDTGZ8,EOS/EOS,TMXXXX,8FWQPDTGZ,BML6T2M09;M4FLVF81Q;XL7CZMZH5,EOS,EOS,Validated,Referential Instrument,10/31/23,10/31/23
XT69Q6NLJ3M9,ROCKET POOL/RPL,TMXXXX,69Q6NLJ3M,T4K8C1K5J;986NQK6FQ,Rocket Pool,RPL,Validated,Referential Instrument,10/31/23,10/31/23
XTH1V5PHW7P3,MULTIVERSX EGLD/EGLD,TMXXXX,H1V5PHW7P,RH8F54RM6;RW71HP6FT,MultiversX EGLD,EGLD,Validated,Referential Instrument,10/31/23,10/31/23
XT12NWNXVVR6,BITDAO/BIT,TMXXXX,12NWNXVVR,HF4SWQR1V;10LJNZXHS,BitDAO,BIT,Validated,Referential Instrument,10/31/23,10/31/23
XTXR0JSKLNZ1,RENDER TOKEN/RENDER,TMXXXX,XR0JSKLNZ,RQGSSPQ03;6WNRFWT13,Render Token,RNDR,Validated,Referential Instrument,10/31/23,9/19/25
XTH618RN5777,AAVE TOKEN/AAVE,TMXXXX,H618RN577,W6T647XQ9;WC2Q7RPJM;C36B1LTHB;F3H672QKB;S3DNT24Z3;CN6X6GTPG;5QFJKJ1J2;R9LX080HQ,Aave Token,AAVE,Validated,Referential Instrument,10/31/23,10/31/23
FR0014003521,European Invest/Zero Cpn Bd,DBZUFR,WGHBLG826,,European Invest Zero Cpn Bd,FR0014003521,Validated,Financial Instrument,11/19/22,11/19/22
CH1228837865,UBS London/2.33 Bd 20251114 Sr,DBFNFB,4HNFSH646,,UBS London 2 33 Bd 20251114 Sr,CH1228837865,Private,Financial Instrument,12/7/22,12/7/22
LU2542747121,EUROP.INVEST.BK/2.507 BD 20241129,DBFCFR,NJL2WVHT0,,EUROP INVEST BK 2 507 BD 20241129,LU2542747121,Validated,Financial Instrument,12/7/22,12/7/22
CH1232107172,Citta di Lugano/1.625 Bd 20290201	,DNFNFB,RHFH6BHNM,,Citta di Lugano 1 625 Bd 20290201,CH1232107172,Validated,Financial Instrument,1/16/23,1/16/23
LU2557886475,EUROP.INVEST.BK/VAR BD 20250203,DBVCFB,N25M0FSD8,,EUROP INVEST BK VAR BD 20250203,LU2557886475,Validated,Financial Instrument,2/7/23,2/7/23
DE000A30V6H0,SIEMENS AG/3.531 IHS 20240213 USEC,DYFUXB,2P12H9KMJ,,SIEMENS AG 3 531 IHS 20240213 USEC,DE000A30V6H0,Validated,Financial Instrument,2/15/23,2/15/23
HK0000895216,HKSAR GOVT/FR BD 20240216 UNSEC	,DYFUXR,JVTWMTRJ7,,HKSAR GOVT 4 05 NT 20240216 UNSEC,HK0000895216,Validated,Financial Instrument,2/16/23,6/27/23
AT0000A2STM3,GREENROCK EN/VAR BD OE,DBVOQB,K71TQ0RHT,,GREENROCK EN VAR BD OE,GREBII,Validated,Financial Instrument,2/17/23,2/17/23
AT0000A21870,COMPANYA CAP/PS 100000,EMXXXB,1NK7DHVQN,,COMPANYA CAP PS 100000,CPR,Validated,Financial Instrument,2/21/23,2/21/23
AT0000A28727,BLUE POWER/GENS 0.10,EMXXXB,ZNFS8SRR3,,BLUE POWER GENS 0 10,BPWR,Validated,Financial Instrument,2/21/23,2/21/23
AT0000A2C5L6,TIGRIS IMMO/GENS 500,EMXXXB,3H704VXRJ,,TIGRIS IMMO GENS 500,S17A,Validated,Financial Instrument,2/21/23,2/21/23
AT0000A2RXE4,	SIDO IMMO/GENS 1000,EMXXXB,K0C0VSTL8,,SIDO IMMO GENS 1000,SID,Validated,Financial Instrument,2/21/23,2/21/23
ATSTEELCOIN5,SC STEEL/OPT PERP,OMXXXX,RT5R2K79G,,SC STEEL OPT PERP,SC,Validated,Financial Instrument,2/21/23,2/21/23
CH1142754337,SIX Group/0.125 Bd 20261127 Sr,DBFNGB,7C0N41Q7D,,SIX Group 0 125 Bd 20261127 Sr,CH1142754337,Private,Financial Instrument,2/22/23,2/22/23
LI1164320387,LCX/7 Bd 20300201 Sub Unsec,DBFQDB,W47GH5712,,LCX 7 Bd 20300201 Sub Unsec,EURt7,Provisional,Financial Instrument,2/22/23,2/22/23
CH1117675251,DAAG Certificat/Tracker Perp TSM,EYAYFS,C6X19DFNJ,,DAAG Certificat Tracker Perp TSM,TSM,Validated,Financial Instrument,2/22/23,2/22/23
CH1115966504,DAAG Certificat/Tracker Perp TSLA,EYAYFS,BG73J7X4V,,DAAG Certificat Tracker Perp TSLA,TSLA,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673173,DAAG Certificat/Tracker Perp AMZN,EYAYFS,4N9ZXZVP5,,DAAG Certificat Tracker Perp AMZN,AMZN,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675012,DAAG Certificat/Tracker Perp VXX,EYAYFM,NCS9TPCC5,,DAAG Certificat Tracker Perp VXX,VXX,Validated,Financial Instrument,2/22/23,2/22/23
CH1115966645,DAAG Certificat/Tracker Perp MSFT,EYAYFS,FG212WPJC,,DAAG Certificat Tracker Perp MSFT,MSFT,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675020,DAAG Certificat/Tracker Perp UBER,EYAYFS,CNNLQTXLJ,,DAAG Certificat Tracker Perp UBER,UBER,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675335,DAAG Certificat/Tracker Perp NIO,EYAYFS,H9C1JN6RL,,DAAG Certificat Tracker Perp NIO,NIO,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675004,DAAG Certificat/Tracker Perp INTC,EYAYFS,2B7D7PF38,,DAAG Certificat Tracker Perp INTC,INTC,Validated,Financial Instrument,2/22/23,2/22/23
CH1117674957,DAAG Certificat/Tracker Perp JUST,EYAYFS,L30FLT5HM,,DAAG Certificat Tracker Perp JUST,JUST,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673207,DAAG Certificat/Tracker Perp AMD,EYAYFS,JR59F418X,,DAAG Certificat Tracker Perp AMD,AMD,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675145,DAAG Certificat/Tracker Perp GOOGL,EYAYFS,ZH613B07W,,DAAG Certificat Tracker Perp GOOGL,GOOGL,Validated,Financial Instrument,2/22/23,2/22/23
CH1115966553,DAAG Certificat/Tracker Perp AAPL,EYAYFS,FDKPL2KM8,,DAAG Certificat Tracker Perp AAPL,AAPL,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675277,DAAG Certificat/Tracker Perp BYND,EYAYFS,3KPN3MJG8,,DAAG Certificat Tracker Perp BYND,BYND,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675053,DAAG Certificat/Tracker Perp PFE,EYAYFS,WKQ2QXHT4,,DAAG Certificat Tracker Perp PFE,PFE,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673223,DAAG Certificat/Tracker Perp BILI,EYAYFS,LBL9J6X23,,DAAG Certificat Tracker Perp BILI,BILI,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675350,DAAG Certificat/Tracker Perp GME,EYAYFS,RG2BD9B0V,,DAAG Certificat Tracker Perp GME,GME,Validated,Financial Instrument,2/22/23,2/22/23
CH1115966652,DAAG Certificat/Tracker Perp MSTR,EYAYFS,KP18KNML8,,DAAG Certificat Tracker Perp MSTR,MSTR,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675079,DAAG Certificat/Tracker Perp PYPL,EYAYFS,7C3QV5V8P,,DAAG Certificat Tracker Perp PYPL,PYPL,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675368,DAAG Certificat/Tracker Perp BNTX,EYAYFS,PC3MG8CS1,,DAAG Certificat Tracker Perp BNTX,BNTX,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675269,DAAG Certificat/Tracker Perp ZM Sub,EYAYFS,4K3C24LR5,,DAAG Certificat Tracker Perp ZM Sub,ZM,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675111,DAAG Certificat/Tracker Perp SQ Sub,EYAYFS,8JLLSWB5P,,DAAG Certificat Tracker Perp SQ Sub,SQ,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675087,DAAG Certificat/Tracker Perp PENN,EYAYFS,H6KSPR2ZV,,DAAG Certificat Tracker Perp PENN,PENN,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675194,DAAG Certificat/Tracker Perp BRK.A,EYAYFS,H60H15ZJZ,,DAAG Certificat Tracker Perp BRK A,BRKA,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675160,DAAG Certificat/Tracker Perp CRON,EYAYFS,MQHGXN5GR,,DAAG Certificat Tracker Perp CRON,CRON,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675327,DAAG Certificat/Tracker Perp GLXY,EYAYFS,M7SJDHNT0,,DAAG Certificat Tracker Perp GLXY,GLXY,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673181,DAAG Certificat/Tracker Perp AMC,EYAYFS,WCRQ5K6JB,,DAAG Certificat Tracker Perp AMC,AMC,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675137,DAAG Certificat/Tracker Perp MRNA,EYAYFS,2G7WSQQCW,,DAAG Certificat Tracker Perp MRNA,MRNA,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673157,DAAG Certificat/Tracker Perp ACB,EYAYFS,P5WWMTS41,,DAAG Certificat Tracker Perp ACB,ACB,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673165,DAAG Certificat/Tracker Perp ABNB,EYAYFS,V71NNNTJZ,,DAAG Certificat Tracker Perp ABNB,ABNB,Validated,Financial Instrument,2/22/23,2/22/23
CH1117668934,DAAG Certificat/Tracker Perp ABC,EYAYFS,B1H54F7WS,,DAAG Certificat Tracker Perp ABC,ABC,Validated,Financial Instrument,2/22/23,2/22/23
CH1117673249,DAAG Certificat/Tracker Perp BABA,EYAYFS,XWTXHV5ZR,,DAAG Certificat Tracker Perp BABA,BABA,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675293,DAAG Certificat/Tracker Perp NVDA,EYAYFS,935N5X17W,,DAAG Certificat Tracker Perp NVDA,NVDA,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675236,DAAG Certificat/Tracker Perp NFLX,EYAYFS,31KJ5LJS6,,DAAG Certificat Tracker Perp NFLX,NFLX,Validated,Financial Instrument,2/22/23,2/22/23
CH1117675210,DAAG Certificat/Tracker Perp NOK,EYAYFS,S9QXPWW3V,,DAAG Certificat Tracker Perp NOK,NOK,Validated,Financial Instrument,2/22/23,2/22/23
CH1117674973,DAAG Certificat/Tracker Perp SUN,EYAYFS,VFN4XKRL6,,DAAG Certificat Tracker Perp SUN,SUN,Validated,Financial Instrument,2/22/23,2/22/23
CH1115966660,DAAG Certificat/Tracker Perp COIN,EYAYFS,1PMJQW7J2,,DAAG Certificat Tracker Perp COIN,COIN,Validated,Financial Instrument,2/22/23,2/22/23
CH1117674981,DAAG Certificat/Tracker Perp TLRY,EYAYFS,Q49XFTXH7,,DAAG Certificat Tracker Perp TLRY,TLRY,Validated,Financial Instrument,2/22/23,2/22/23
CH1231365359,SwarmX/Struct Perp AAPL Sr,EYAYFS,2ZFH40KF6,,SwarmX Struct Perp AAPL Sr,AAPL,Validated,Financial Instrument,3/6/23,3/6/23
CH1247816114,SwarmX/Struct Perp TSLA Sr Unsec,EYAYFS,8DQ0VDB66,,SwarmX Struct Perp TSLA Sr Unsec,TSLA,Validated,Financial Instrument,3/6/23,3/6/23
CH1237059089,	SwarmX/Struct Perp Fds Sr Unsec,EYAYFM,TZM1MNSRF,,SwarmX Struct Perp Fds Sr Unsec,TBONDS01,Validated,Financial Instrument,3/6/23,3/6/23
CH1237059071,SwarmX/Struct Perp Fds Sr Unsec,EYAYFM,10ZW1X3N5,,SwarmX Struct Perp Fds Sr Unsec,TBONDS13,Validated,Financial Instrument,3/6/23,3/6/23
LU2637450516,EUROP.INVEST.BK/BD 20250619,DBFCFR,G1Z52QNDQ,,EUROP INVEST BK BD 20250619,LU2637450516,Provisional,Financial Instrument,9/4/23,9/4/23
CH1199021903,Tenity Group/RegSh CHF0.1,ESVTFR,XTNJ6KQGQ,,Tenity Group RegSh CHF0 1,CH1199021903,Private,Financial Instrument,9/14/23,9/14/23
DE000A3DQHH2,MET.GL.GR.SU./ CL DA,CIOGEU,P6KCTXRL6,,MET GL GR SU CL DA,METGGSDA,Validated,Financial Instrument,9/14/23,9/14/23
XS2615318289,INTERNATIONAL B/3.399EMTN 20261023,DTFCFR,J0D6B3L47,,INTERNATIONAL B 3 399EMTN 20261023,XS2615318289,Private,Financial Instrument,11/2/23,11/2/23
XTSV17PZF241,MKR/MAKER,TMXXXX,SV17PZF24,QD7K0JHQ8;LHB3QXMB3;WR5J4ZCFX,Maker,MKR,Validated,Referential Instrument,11/24/23,11/24/23
XT9NRMM2RC47,OPTIMISM/OP,TMXXXX,9NRMM2RC4,DWR00Z22R,Optimism,OP,Validated,Referential Instrument,11/24/23,9/4/24
XTB11NLQ50F0,OPTIMISM/OP,TMXXXX,B11NLQ50F,J51DTFWQM,Optimism,OP,Validated,Referential Instrument,9/4/24,9/4/24
XTQH1GF1J5H2,MANTLE/MNT,TMXXXX,QH1GF1J5H,K1KRW1TFQ;C0D7M4H0R,Mantle,MNT,Validated,Referential Instrument,11/24/23,11/24/23
XT92M9B0DZ78,INJECTIVE/INJ,TMXXXX,92M9B0DZ7,LGWSMX228;VKJM0GHDH;JVHX3MS60;VS82ZDXTF;WFQSW1L5L,Injective Token,INJ,Validated,Referential Instrument,11/24/23,4/29/25
XT426HSHMDM5,THORCHAIN/RUNE,TMXXXX,426HSHMDM,B8DH60MPJ,THORChain,RUNE,Validated,Referential Instrument,11/24/23,9/4/24
XTRHQ35KSW11,THORCHAIN ETH RUNE/RUNE,TMXXXX,RHQ35KSW1,MGQZ517X0,THORChain ETH RUNE,RUNE,Validated,Referential Instrument,9/4/24,9/4/24
XTCCCWM2C2N4,BITCOIN SV/BSV,TMXXXX,CCCWM2C2N,2L8HS2MNP,Bitcoin SV,BSV,Validated,Referential Instrument,11/24/23,9/4/24
XTXCTFPJJBH1,HUOBI BSV/HBSV,TMXXXX,XCTFPJJBH,GQ68Z03WZ,Huobi BSV,HBSV ,Validated,Referential Instrument,9/4/24,9/4/24
XTPQTGLSGRG9,STACKS/STX,TMXXXX,PQTGLSGRG,W7BGSQ91D,Stacks,STX,Validated,Referential Instrument,12/14/23,9/4/24
XTS70BXPL476,WRAPPED STACKS/TOKENWSTX,TMXXXX,S70BXPL47,R1D90QJKK,Wrapped Stacks,tokenwstx,Validated,Referential Instrument,9/4/24,9/4/24
XT9LJ0XLJBT8,IMMUTABLE X/IMX,TMXXXX,9LJ0XLJBT,K8SHK1VHZ;46VQ8B7LM,Immutable X,IMX,Validated,Referential Instrument,11/24/23,11/24/23
XTRTTDS5MHT0,AXIE INFINITY SHARD/AXS,TMXXXX,RTTDS5MHT,VWH33C6Z8;Z2FJWKQ0R;N86WQBNWK;C8R4L23ZB;LMH7N9DPB;17KZJVLZQ,Axie Infinity Shard,AXS,Validated,Referential Instrument,11/24/23,11/24/23
XTWC65QMPR28,DECENTRALIZED USD/USDD,TMXXXX,WC65QMPR2,C40BJTLNP;V0SSRMM4T;WRDZ657V5;BG1XX5PDZ,Decentralized USD,USDD,Validated,Referential Instrument,11/24/23,11/24/23
