ISIN,FISN,CFI,DTI,Linked DTI(s),DTI Long Name,DTI Short Name,DTI Status,Type,Added Date,Amended Date
XTT7PV7VQD78,AFREUM JOD/AJOD,TMXXXX,T7PV7VQD7,26DQ579GL,AFREUM JOD,AJOD,Provisional,Referential Instrument,2/14/25,2/14/25
XTG42FMFMTB8,AFREUM JMD/AJMD,TMXXXX,G42FMFMTB,TDNKQTJRV,AFREUM JMD,AJMD,Provisional,Referential Instrument,2/14/25,2/14/25
XT2FRM3RH0W9,AFREUM ISK/AISK,TMXXXX,2FRM3RH0W,QL1NXPV8S,AFREUM ISK,AISK,Provisional,Referential Instrument,2/14/25,2/14/25
XT1P979T69J9,AFREUM IRR/AIRR,TMXXXX,1P979T69J,PKRTR3JHV,AFREUM IRR,AIRR,Provisional,Referential Instrument,2/14/25,2/14/25
XTZF44K20D88,AFREUM IQD/AIQD,TMXXXX,ZF44K20D8,Q5RVN1R5W,AFREUM IQD,AIQD,Provisional,Referential Instrument,2/14/25,2/14/25
XT6VLXNCTDZ2,AFREUM INR/AINR,TMXXXX,6VLXNCTDZ,91D172VTL,AFREUM INR,AINR,Provisional,Referential Instrument,2/14/25,2/14/25
XT3T10LV2CL7,AFREUM ILS/AILS,TMXXXX,3T10LV2CL,S8J06RVF2,AFREUM ILS,AILS,Provisional,Referential Instrument,2/14/25,2/14/25
XTTVH0VCP378,AFREUM IDR/AIDR,TMXXXX,TVH0VCP37,K8WPL9GB8,AFREUM IDR,AIDR,Provisional,Referential Instrument,2/14/25,2/14/25
XTNMNC5078N6,AFREUM HUF/AHUF,TMXXXX,NMNC5078N,WLGL2R5HW,AFREUM HUF,AHUF,Provisional,Referential Instrument,2/14/25,2/14/25
XT61Q71V74V3,AFREUM HTG/AHTG,TMXXXX,61Q71V74V,T4XB0S25S,AFREUM HTG,AHTG,Provisional,Referential Instrument,2/14/25,2/14/25
